                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0914,                0.65898,                 1.0024,                0.50996,                0.55273,                0.42178,                 0.2984,                 1.2508,                 1.1624,                 1.0586,             0.00042081,             0.00042081,             0.00042081
                     35,                 1.0783,                0.65115,                0.99868,                0.48837,                0.59453,                0.45002,                0.31636,                 1.2593,                 1.1787,                 1.0606,             0.00041462,             0.00041462,             0.00041462
                     36,                 1.0879,                0.65514,                 1.0021,                0.48846,                0.57082,                0.43685,                0.31003,                 1.2486,                 1.1546,                 1.0646,             0.00040844,             0.00040844,             0.00040844
                     37,                 1.0706,                0.64411,                0.99641,                0.50188,                 0.5733,                0.45043,                0.31556,                 1.2423,                 1.0955,                 1.0603,             0.00040225,             0.00040225,             0.00040225
                     38,                 1.0702,                 0.6433,                0.99621,                0.48469,                0.60534,                0.45513,                0.32066,                 1.2489,                 1.0637,                 1.0621,             0.00039606,             0.00039606,             0.00039606
                     39,                 1.0745,                 0.6395,                 0.9972,                0.49112,                0.59614,                0.44638,                0.31348,                 1.2476,                 1.1535,                 1.0568,             0.00038988,             0.00038988,             0.00038988
                     40,                 1.0671,                0.63345,                0.99187,                0.49079,                0.62128,                0.44981,                0.31551,                 1.2407,                 1.1098,                 1.0625,             0.00038369,             0.00038369,             0.00038369
                     41,                 1.0652,                0.62675,                0.99671,                 0.4854,                0.61621,                0.45663,                0.32127,                 1.2445,                 1.1057,                  1.059,              0.0003775,              0.0003775,              0.0003775
                     42,                 1.0624,                0.62856,                0.99234,                0.48891,                0.58701,                0.44648,                 0.3153,                  1.246,                 1.1213,                 1.0589,             0.00037131,             0.00037131,             0.00037131
                     43,                 1.0531,                0.61774,                0.98774,                0.50977,                0.55875,                0.43616,                0.31064,                 1.2425,                  1.238,                 1.0681,             0.00036513,             0.00036513,             0.00036513
                     44,                 1.0572,                0.62028,                0.99241,                0.51869,                  0.539,                0.45323,                0.31933,                 1.2332,                 1.1242,                 1.0621,             0.00035894,             0.00035894,             0.00035894
                     45,                 1.0602,                0.62174,                0.99497,                0.48589,                0.62784,                0.45306,                0.32018,                 1.2387,                 1.1173,                 1.0598,             0.00035275,             0.00035275,             0.00035275
                     46,                 1.0527,                0.60792,                0.98888,                0.48985,                0.59889,                0.44606,                0.31603,                 1.2422,                  1.177,                 1.0641,             0.00034656,             0.00034656,             0.00034656
                     47,                 1.0434,                0.60306,                0.98665,                0.50155,                0.60107,                0.45244,                0.32195,                 1.2351,                 1.1436,                 1.0619,             0.00034038,             0.00034038,             0.00034038
                     48,                 1.0579,                0.61468,                 0.9961,                 0.4965,                0.56944,                0.44529,                0.31429,                 1.2478,                 1.1894,                 1.0687,             0.00033419,             0.00033419,             0.00033419
                     49,                 1.0452,                0.60429,                0.98879,                0.50302,                 0.6044,                0.47086,                0.33352,                 1.2349,                 1.1644,                 1.0621,               0.000328,               0.000328,               0.000328
                     50,                 1.0512,                 0.6098,                0.99012,                0.50295,                0.57566,                0.45187,                0.32056,                 1.2432,                 1.1571,                 1.0625,             0.00032181,             0.00032181,             0.00032181
                     51,                 1.0446,                0.60044,                0.98719,                0.50903,                0.57866,                0.44274,                 0.3108,                 1.2359,                 1.1586,                  1.062,             0.00031562,             0.00031562,             0.00031562
                     52,                 1.0462,                0.60269,                0.98734,                0.50929,                0.58515,                0.45108,                0.32012,                 1.2424,                 1.1419,                 1.0598,             0.00030944,             0.00030944,             0.00030944
                     53,                 1.0427,                0.59996,                0.98793,                0.51161,                0.59875,                0.44434,                0.31527,                   1.23,                 1.2009,                 1.0607,             0.00030325,             0.00030325,             0.00030325
                     54,                 1.0393,                0.59706,                0.98471,                0.51142,                0.59858,                0.46006,                0.32844,                 1.2354,                 1.1673,                 1.0608,             0.00029706,             0.00029706,             0.00029706
                     55,                 1.0413,                 0.5959,                0.98482,                0.51798,                0.53757,                0.45176,                0.32409,                 1.2348,                 1.2179,                 1.0646,             0.00029088,             0.00029088,             0.00029088
                     56,                 1.0334,                0.58701,                0.98039,                0.50879,                 0.5927,                 0.4612,                0.32892,                 1.2278,                 1.1351,                 1.0575,             0.00028469,             0.00028469,             0.00028469
                     57,                 1.0396,                0.59082,                0.98827,                 0.5146,                0.58249,                0.45113,                0.32303,                 1.2303,                  1.176,                 1.0592,              0.0002785,              0.0002785,              0.0002785
                     58,                 1.0268,                0.58504,                0.98327,                 0.4849,                0.59932,                0.44408,                 0.3152,                 1.2344,                 1.1456,                 1.0618,             0.00027231,             0.00027231,             0.00027231
                     59,                 1.0225,                0.57714,                0.98121,                0.48919,                0.60885,                0.46351,                0.33018,                 1.2355,                 1.1166,                 1.0581,             0.00026613,             0.00026613,             0.00026613
                     60,                 1.0311,                0.58449,                 0.9822,                 0.5003,                0.59757,                0.46353,                0.33275,                 1.2299,                 1.0968,                 1.0613,             0.00025994,             0.00025994,             0.00025994
                     61,                 1.0238,                0.57742,                0.97828,                 0.5022,                0.59335,                0.44528,                0.31609,                 1.2284,                 1.1446,                 1.0627,             0.00025375,             0.00025375,             0.00025375
                     62,                 1.0164,                0.57407,                0.97792,                0.50657,                0.59633,                0.46256,                0.33247,                 1.2278,                 1.1835,                 1.0622,             0.00024756,             0.00024756,             0.00024756
                     63,                 1.0203,                0.57701,                0.97509,                0.50573,                0.59618,                0.45574,                0.32805,                 1.2245,                 1.1474,                 1.0571,             0.00024137,             0.00024137,             0.00024137
                     64,                  1.019,                0.56958,                0.97675,                0.51108,                0.58631,                 0.4467,                0.31891,                 1.2366,                 1.1819,                 1.0679,             0.00023519,             0.00023519,             0.00023519
                     65,                 1.0081,                0.56749,                0.97248,                0.49389,                0.60154,                0.45466,                0.32614,                 1.2317,                 1.1571,                   1.06,               0.000229,               0.000229,               0.000229
                     66,                 1.0121,                0.56809,                0.97736,                0.49427,                0.58822,                0.45737,                0.33006,                 1.2339,                 1.1597,                 1.0593,             0.00022281,             0.00022281,             0.00022281
                     67,                 1.0095,                0.56532,                0.97316,                0.51326,                0.58393,                0.47076,                 0.3426,                 1.2253,                 1.1875,                 1.0583,             0.00021662,             0.00021662,             0.00021662
                     68,                 1.0064,                0.56384,                0.97299,                  0.501,                0.58185,                0.45478,                 0.3276,                 1.2347,                 1.2036,                 1.0597,             0.00021044,             0.00021044,             0.00021044
                     69,                 1.0071,                0.56388,                0.97538,                0.49352,                0.58905,                0.45945,                0.33072,                 1.2319,                 1.1812,                 1.0572,             0.00020425,             0.00020425,             0.00020425
                     70,                 1.0059,                  0.561,                0.97143,                0.50004,                0.60371,                0.46028,                0.33324,                  1.226,                 1.1664,                 1.0595,             0.00019806,             0.00019806,             0.00019806
                     71,                 1.0077,                0.56094,                0.97524,                0.50721,                0.59117,                0.46502,                0.33632,                  1.224,                 1.1876,                 1.0595,             0.00019188,             0.00019188,             0.00019188
                     72,                 1.0071,                0.55306,                0.97351,                0.49708,                0.59555,                0.45457,                0.32852,                 1.2233,                 1.1719,                 1.0592,             0.00018569,             0.00018569,             0.00018569
                     73,                0.99258,                0.54678,                0.96979,                0.51764,                 0.6075,                0.46026,                 0.3326,                 1.2243,                 1.1786,                 1.0585,              0.0001795,              0.0001795,              0.0001795
                     74,                0.98718,                0.54564,                0.96637,                0.51203,                0.59224,                0.45829,                0.33094,                 1.2286,                 1.1867,                 1.0617,             0.00017331,             0.00017331,             0.00017331
                     75,                0.98867,                0.54795,                0.96872,                0.48076,                0.60936,                0.46427,                0.33517,                 1.2287,                 1.2024,                 1.0614,             0.00016713,             0.00016713,             0.00016713
                     76,                0.99247,                0.54708,                0.96966,                0.50408,                0.59179,                 0.4524,                0.32606,                  1.226,                 1.2476,                 1.0636,             0.00016094,             0.00016094,             0.00016094
                     77,                0.99552,                0.54714,                0.96907,                0.50777,                 0.5865,                0.46002,                0.33222,                 1.2252,                 1.1984,                 1.0607,             0.00015475,             0.00015475,             0.00015475
                     78,                0.98343,                0.53975,                 0.9654,                0.50571,                  0.609,                 0.4629,                0.33445,                 1.2193,                 1.1518,                 1.0601,             0.00014856,             0.00014856,             0.00014856
                     79,                0.99195,                 0.5468,                0.96911,                 0.4968,                0.59887,                0.45156,                0.32579,                 1.2207,                 1.1884,                 1.0594,             0.00014237,             0.00014237,             0.00014237
                     80,                0.99038,                0.54241,                0.96586,                0.49214,                0.62219,                0.46379,                0.33654,                 1.2165,                 1.1596,                 1.0582,             0.00013619,             0.00013619,             0.00013619
                     81,                0.98038,                0.53499,                0.96566,                0.50784,                0.59683,                0.45736,                 0.3328,                 1.2225,                 1.1794,                 1.0603,                0.00013,                0.00013,                0.00013
                     82,                0.97086,                0.53637,                0.96068,                0.50945,                0.61219,                0.45645,                0.33084,                 1.2221,                 1.1645,                 1.0618,             0.00012381,             0.00012381,             0.00012381
                     83,                 0.9805,                0.53432,                0.96049,                0.49959,                0.59722,                0.45635,                0.33497,                  1.217,                 1.2229,                 1.0583,             0.00011763,             0.00011763,             0.00011763
                     84,                0.97379,                0.53084,                0.96184,                0.51577,                0.59715,                0.46188,                0.33571,                 1.2229,                 1.1618,                 1.0592,             0.00011144,             0.00011144,             0.00011144
                     85,                0.97243,                0.52943,                0.96234,                0.49982,                0.61426,                0.44817,                0.32614,                 1.2183,                 1.2054,                 1.0582,             0.00010525,             0.00010525,             0.00010525
                     86,                0.98178,                 0.5325,                0.96218,                0.51545,                0.61264,                0.45776,                 0.3324,                 1.2201,                   1.16,                 1.0591,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                0.97278,                0.52326,                 0.9627,                 0.5211,                0.60359,                0.45903,                  0.332,                 1.2165,                 1.1507,                 1.0597,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                0.97363,                0.52826,                0.96335,                0.51636,                0.60808,                  0.455,                0.32981,                 1.2218,                  1.205,                 1.0599,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                 0.9728,                0.52636,                0.96095,                 0.5241,                0.58265,                0.46112,                0.33581,                 1.2194,                 1.1823,                 1.0604,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                0.97571,                0.49562,                0.97418,                0.50098,                0.58805,                0.44841,                0.32722,                 1.2254,                 1.2051,                 1.0639,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                0.96265,                 0.4844,                0.96578,                 0.5191,                0.58891,                0.45046,                0.32679,                 1.2244,                 1.1652,                 1.0637,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     92,                0.95776,                0.47976,                0.96549,                0.51241,                 0.5837,                 0.4501,                0.32712,                  1.225,                 1.1824,                  1.062,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     93,                0.95517,                0.47817,                0.96218,                0.52174,                0.58364,                0.45027,                0.32681,                 1.2229,                 1.1914,                  1.062,              5.575e-05,              5.575e-05,              5.575e-05
                     94,                0.95152,                0.47558,                0.96417,                0.52427,                0.57921,                0.45173,                0.32775,                 1.2226,                  1.186,                 1.0623,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     95,                0.94969,                0.47177,                0.96346,                0.52361,                0.58693,                0.45082,                0.32765,                 1.2215,                 1.1924,                 1.0621,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     96,                0.94457,                0.46996,                0.95891,                0.52586,                0.58234,                0.45177,                0.32745,                 1.2236,                 1.1898,                 1.0604,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     97,                0.94183,                 0.4672,                0.95748,                0.52216,                0.57971,                0.44792,                 0.3258,                 1.2209,                 1.2175,                 1.0607,                3.1e-05,                3.1e-05,                3.1e-05
                     98,                0.94013,                0.46659,                0.95721,                0.52388,                0.57987,                0.44693,                0.32472,                  1.222,                  1.209,                 1.0607,             2.4813e-05,             2.4813e-05,             2.4813e-05
                     99,                0.94002,                0.46752,                0.95785,                0.52488,                0.57952,                0.44819,                0.32551,                 1.2218,                 1.2069,                 1.0615,             1.8625e-05,             1.8625e-05,             1.8625e-05
